#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.199070E+08   0.199070E+08   0.258363E+08   0.258353E+08   0.199065E+08   0.199070E+08   0.199070E+08   0.199135E+08  -0.472261E+00   0.104654E+08   0.104654E+08   0.427082E-01
   0.830129E-04   0.199067E+08   0.199066E+08   0.256628E+08   0.256615E+08   0.199059E+08   0.199066E+08   0.199067E+08   0.199132E+08  -0.472251E+00   0.104652E+08   0.104652E+08   0.477119E-01
   0.927685E-04   0.199063E+08   0.199063E+08   0.254477E+08   0.254461E+08   0.199053E+08   0.199062E+08   0.199063E+08   0.199127E+08  -0.472239E+00   0.104650E+08   0.104650E+08   0.532976E-01
   0.103671E-03   0.199058E+08   0.199058E+08   0.251813E+08   0.251793E+08   0.199045E+08   0.199058E+08   0.199058E+08   0.199122E+08  -0.472225E+00   0.104647E+08   0.104647E+08   0.595314E-01
   0.115854E-03   0.199051E+08   0.199051E+08   0.248522E+08   0.248498E+08   0.199035E+08   0.199051E+08   0.199051E+08   0.199115E+08  -0.472206E+00   0.104644E+08   0.104644E+08   0.664862E-01
   0.129469E-03   0.199044E+08   0.199044E+08   0.244467E+08   0.244438E+08   0.199022E+08   0.199044E+08   0.199044E+08   0.199106E+08  -0.472183E+00   0.104640E+08   0.104640E+08   0.742422E-01
   0.144684E-03   0.199034E+08   0.199034E+08   0.239488E+08   0.239452E+08   0.199006E+08   0.199034E+08   0.199034E+08   0.199095E+08  -0.472155E+00   0.104635E+08   0.104635E+08   0.828875E-01
   0.161687E-03   0.199022E+08   0.199022E+08   0.233401E+08   0.233358E+08   0.198987E+08   0.199022E+08   0.199022E+08   0.199081E+08  -0.472120E+00   0.104628E+08   0.104628E+08   0.925182E-01
   0.180688E-03   0.199007E+08   0.199007E+08   0.225998E+08   0.225946E+08   0.198963E+08   0.199007E+08   0.199007E+08   0.199065E+08  -0.472076E+00   0.104621E+08   0.104621E+08   0.103238E+00
   0.201923E-03   0.198989E+08   0.198989E+08   0.217055E+08   0.216994E+08   0.198932E+08   0.198989E+08   0.198989E+08   0.199044E+08  -0.472022E+00   0.104611E+08   0.104611E+08   0.115161E+00
   0.225652E-03   0.198966E+08   0.198966E+08   0.206345E+08   0.206274E+08   0.198894E+08   0.198966E+08   0.198966E+08   0.199018E+08  -0.471955E+00   0.104598E+08   0.104598E+08   0.128405E+00
   0.252171E-03   0.198938E+08   0.198938E+08   0.193653E+08   0.193572E+08   0.198847E+08   0.198937E+08   0.198938E+08   0.198986E+08  -0.471873E+00   0.104583E+08   0.104583E+08   0.143099E+00
   0.281806E-03   0.198902E+08   0.198902E+08   0.178816E+08   0.178726E+08   0.198789E+08   0.198902E+08   0.198902E+08   0.198947E+08  -0.471771E+00   0.104564E+08   0.104564E+08   0.159375E+00
   0.314923E-03   0.198859E+08   0.198859E+08   0.161770E+08   0.161672E+08   0.198716E+08   0.198858E+08   0.198859E+08   0.198899E+08  -0.471647E+00   0.104541E+08   0.104541E+08   0.177371E+00
   0.351933E-03   0.198805E+08   0.198805E+08   0.142611E+08   0.142510E+08   0.198627E+08   0.198803E+08   0.198805E+08   0.198840E+08  -0.471494E+00   0.104512E+08   0.104512E+08   0.197226E+00
   0.393291E-03   0.198738E+08   0.198738E+08   0.121683E+08   0.121585E+08   0.198515E+08   0.198737E+08   0.198738E+08   0.198768E+08  -0.471309E+00   0.104476E+08   0.104476E+08   0.219080E+00
   0.439511E-03   0.198657E+08   0.198657E+08   0.996477E+07   0.995612E+07   0.198378E+08   0.198655E+08   0.198657E+08   0.198680E+08  -0.471086E+00   0.104433E+08   0.104433E+08   0.243072E+00
   0.491162E-03   0.198557E+08   0.198557E+08   0.775443E+07   0.774794E+07   0.198209E+08   0.198554E+08   0.198557E+08   0.198574E+08  -0.470816E+00   0.104379E+08   0.104379E+08   0.269341E+00
   0.548882E-03   0.198435E+08   0.198435E+08   0.567599E+07   0.567254E+07   0.198001E+08   0.198432E+08   0.198435E+08   0.198447E+08  -0.470494E+00   0.104314E+08   0.104314E+08   0.298028E+00
   0.613387E-03   0.198288E+08   0.198287E+08   0.388651E+07   0.388657E+07   0.197746E+08   0.198284E+08   0.198288E+08   0.198293E+08  -0.470111E+00   0.104235E+08   0.104235E+08   0.329284E+00
   0.685471E-03   0.198109E+08   0.198109E+08   0.252549E+07   0.252859E+07   0.197435E+08   0.198104E+08   0.198109E+08   0.198111E+08  -0.469657E+00   0.104139E+08   0.104139E+08   0.363279E+00
   0.766027E-03   0.197895E+08   0.197894E+08   0.166161E+07   0.166608E+07   0.197056E+08   0.197888E+08   0.197895E+08   0.197893E+08  -0.469122E+00   0.104024E+08   0.104024E+08   0.400217E+00
   0.856050E-03   0.197638E+08   0.197637E+08   0.124106E+07   0.124430E+07   0.196597E+08   0.197630E+08   0.197638E+08   0.197633E+08  -0.468492E+00   0.103887E+08   0.103887E+08   0.440350E+00
   0.956652E-03   0.197332E+08   0.197331E+08   0.107826E+07   0.107799E+07   0.196041E+08   0.197322E+08   0.197332E+08   0.197325E+08  -0.467751E+00   0.103724E+08   0.103724E+08   0.483976E+00
   0.106908E-02   0.196970E+08   0.196969E+08   0.933959E+06   0.929928E+06   0.195372E+08   0.196958E+08   0.196970E+08   0.196960E+08  -0.466878E+00   0.103531E+08   0.103531E+08   0.531434E+00
   0.119471E-02   0.196542E+08   0.196540E+08   0.673233E+06   0.667590E+06   0.194570E+08   0.196526E+08   0.196541E+08   0.196528E+08  -0.465850E+00   0.103304E+08   0.103304E+08   0.583076E+00
   0.133512E-02   0.196037E+08   0.196035E+08   0.377513E+06   0.371846E+06   0.193610E+08   0.196018E+08   0.196037E+08   0.196019E+08  -0.464640E+00   0.103036E+08   0.103036E+08   0.639255E+00
   0.149202E-02   0.195445E+08   0.195442E+08   0.228245E+06   0.219861E+06   0.192469E+08   0.195422E+08   0.195444E+08   0.195422E+08  -0.463221E+00   0.102722E+08   0.102722E+08   0.700332E+00
