#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.724848E-04   0.123561E+08   0.123561E+08   0.162216E+08   0.162209E+08   0.123561E+08   0.123561E+08   0.123561E+08   0.123645E+08  -0.570867E+00   0.106783E+08   0.106783E+08   0.838582E-01
   0.810031E-04   0.123559E+08   0.123559E+08   0.161589E+08   0.161581E+08   0.123559E+08   0.123559E+08   0.123559E+08   0.123643E+08  -0.570857E+00   0.106781E+08   0.106781E+08   0.936933E-01
   0.905225E-04   0.123557E+08   0.123557E+08   0.160809E+08   0.160800E+08   0.123556E+08   0.123557E+08   0.123557E+08   0.123641E+08  -0.570844E+00   0.106779E+08   0.106779E+08   0.104676E+00
   0.101161E-03   0.123554E+08   0.123554E+08   0.159841E+08   0.159829E+08   0.123553E+08   0.123554E+08   0.123554E+08   0.123637E+08  -0.570827E+00   0.106777E+08   0.106777E+08   0.116939E+00
   0.113049E-03   0.123550E+08   0.123550E+08   0.158639E+08   0.158624E+08   0.123549E+08   0.123550E+08   0.123550E+08   0.123633E+08  -0.570807E+00   0.106774E+08   0.106774E+08   0.130628E+00
   0.126334E-03   0.123546E+08   0.123546E+08   0.157150E+08   0.157132E+08   0.123544E+08   0.123546E+08   0.123546E+08   0.123628E+08  -0.570782E+00   0.106770E+08   0.106770E+08   0.145905E+00
   0.141181E-03   0.123540E+08   0.123540E+08   0.155309E+08   0.155286E+08   0.123538E+08   0.123540E+08   0.123540E+08   0.123621E+08  -0.570750E+00   0.106765E+08   0.106765E+08   0.162948E+00
   0.157773E-03   0.123533E+08   0.123533E+08   0.153038E+08   0.153010E+08   0.123531E+08   0.123533E+08   0.123533E+08   0.123613E+08  -0.570711E+00   0.106759E+08   0.106759E+08   0.181953E+00
   0.176314E-03   0.123525E+08   0.123525E+08   0.150246E+08   0.150212E+08   0.123522E+08   0.123525E+08   0.123525E+08   0.123603E+08  -0.570662E+00   0.106752E+08   0.106752E+08   0.203136E+00
   0.197034E-03   0.123514E+08   0.123514E+08   0.146827E+08   0.146785E+08   0.123510E+08   0.123514E+08   0.123514E+08   0.123591E+08  -0.570601E+00   0.106743E+08   0.106743E+08   0.226731E+00
   0.220189E-03   0.123501E+08   0.123501E+08   0.142659E+08   0.142610E+08   0.123496E+08   0.123501E+08   0.123501E+08   0.123576E+08  -0.570526E+00   0.106731E+08   0.106731E+08   0.252993E+00
   0.246066E-03   0.123485E+08   0.123485E+08   0.137612E+08   0.137553E+08   0.123478E+08   0.123485E+08   0.123485E+08   0.123556E+08  -0.570433E+00   0.106717E+08   0.106717E+08   0.282195E+00
   0.274983E-03   0.123464E+08   0.123464E+08   0.131545E+08   0.131476E+08   0.123456E+08   0.123464E+08   0.123464E+08   0.123533E+08  -0.570317E+00   0.106700E+08   0.106700E+08   0.314630E+00
   0.307299E-03   0.123439E+08   0.123439E+08   0.124326E+08   0.124247E+08   0.123428E+08   0.123439E+08   0.123439E+08   0.123504E+08  -0.570175E+00   0.106678E+08   0.106678E+08   0.350607E+00
   0.343412E-03   0.123408E+08   0.123408E+08   0.115842E+08   0.115752E+08   0.123394E+08   0.123407E+08   0.123408E+08   0.123468E+08  -0.569999E+00   0.106651E+08   0.106651E+08   0.390446E+00
   0.383770E-03   0.123369E+08   0.123369E+08   0.106025E+08   0.105927E+08   0.123352E+08   0.123368E+08   0.123369E+08   0.123424E+08  -0.569784E+00   0.106617E+08   0.106617E+08   0.434478E+00
   0.428870E-03   0.123321E+08   0.123321E+08   0.948939E+07   0.947905E+07   0.123300E+08   0.123320E+08   0.123321E+08   0.123370E+08  -0.569522E+00   0.106576E+08   0.106576E+08   0.483036E+00
   0.479271E-03   0.123262E+08   0.123262E+08   0.825940E+07   0.824908E+07   0.123236E+08   0.123261E+08   0.123262E+08   0.123305E+08  -0.569202E+00   0.106525E+08   0.106525E+08   0.536453E+00
   0.535594E-03   0.123190E+08   0.123190E+08   0.694479E+07   0.693530E+07   0.123157E+08   0.123189E+08   0.123190E+08   0.123225E+08  -0.568816E+00   0.106462E+08   0.106462E+08   0.595053E+00
   0.598537E-03   0.123102E+08   0.123102E+08   0.559961E+07   0.559191E+07   0.123060E+08   0.123101E+08   0.123102E+08   0.123130E+08  -0.568351E+00   0.106386E+08   0.106386E+08   0.659156E+00
   0.668876E-03   0.122995E+08   0.122994E+08   0.430017E+07   0.429526E+07   0.122942E+08   0.122993E+08   0.122995E+08   0.123016E+08  -0.567795E+00   0.106292E+08   0.106292E+08   0.729082E+00
   0.747482E-03   0.122865E+08   0.122864E+08   0.313858E+07   0.313718E+07   0.122799E+08   0.122863E+08   0.122865E+08   0.122879E+08  -0.567136E+00   0.106179E+08   0.106179E+08   0.805167E+00
   0.835325E-03   0.122709E+08   0.122708E+08   0.220551E+07   0.220758E+07   0.122627E+08   0.122706E+08   0.122708E+08   0.122717E+08  -0.566357E+00   0.106042E+08   0.106042E+08   0.887795E+00
   0.933492E-03   0.122521E+08   0.122520E+08   0.156113E+07   0.156547E+07   0.122419E+08   0.122518E+08   0.122521E+08   0.122526E+08  -0.565443E+00   0.105878E+08   0.105878E+08   0.977434E+00
   0.104319E-02   0.122298E+08   0.122297E+08   0.120146E+07   0.120573E+07   0.122171E+08   0.122294E+08   0.122298E+08   0.122300E+08  -0.564374E+00   0.105683E+08   0.105682E+08   0.107467E+01
   0.116579E-02   0.122034E+08   0.122032E+08   0.104023E+07   0.104179E+07   0.121875E+08   0.122029E+08   0.122034E+08   0.122034E+08  -0.563124E+00   0.105451E+08   0.105451E+08   0.118023E+01
   0.130279E-02   0.121722E+08   0.121720E+08   0.935168E+06   0.932897E+06   0.121525E+08   0.121716E+08   0.121722E+08   0.121721E+08  -0.561664E+00   0.105179E+08   0.105179E+08   0.129493E+01
   0.145590E-02   0.121357E+08   0.121354E+08   0.771326E+06   0.766808E+06   0.121111E+08   0.121349E+08   0.121356E+08   0.121353E+08  -0.559956E+00   0.104860E+08   0.104860E+08   0.141965E+01
   0.162699E-02   0.120929E+08   0.120926E+08   0.552733E+06   0.548660E+06   0.120623E+08   0.120919E+08   0.120928E+08   0.120922E+08  -0.557963E+00   0.104488E+08   0.104488E+08   0.155523E+01
   0.181819E-02   0.120430E+08   0.120426E+08   0.389715E+06   0.385365E+06   0.120051E+08   0.120418E+08   0.120430E+08   0.120420E+08  -0.555640E+00   0.104054E+08   0.104054E+08   0.170250E+01
   0.203187E-02   0.119851E+08   0.119846E+08   0.337830E+06   0.328657E+06   0.119382E+08   0.119836E+08   0.119850E+08   0.119837E+08  -0.552945E+00   0.103550E+08   0.103550E+08   0.186240E+01
   0.227065E-02   0.119180E+08   0.119174E+08   0.297235E+06   0.284616E+06   0.118600E+08   0.119161E+08   0.119179E+08   0.119163E+08  -0.549828E+00   0.102967E+08   0.102967E+08   0.203597E+01
   0.253749E-02   0.118406E+08   0.118398E+08   0.203694E+06   0.198459E+06   0.117692E+08   0.118382E+08   0.118405E+08   0.118384E+08  -0.546230E+00   0.102294E+08   0.102294E+08   0.222432E+01
   0.283570E-02   0.117515E+08   0.117505E+08   0.155281E+06   0.157315E+06   0.116638E+08   0.117487E+08   0.117514E+08   0.117487E+08  -0.542092E+00   0.101520E+08   0.101520E+08   0.242856E+01
