#           k/h    P           
 0.72484778E-04 0.13540628E+03
 0.81003120E-04 0.15079436E+03
 0.90522532E-04 0.16792998E+03
 0.10116066E-03 0.18701114E+03
 0.11304896E-03 0.20825800E+03
 0.12633437E-03 0.23191556E+03
 0.14118107E-03 0.25825598E+03
 0.15777253E-03 0.28758179E+03
 0.17631381E-03 0.32022888E+03
 0.19703405E-03 0.35657016E+03
 0.22018931E-03 0.39701895E+03
 0.24606576E-03 0.44203317E+03
 0.27498318E-03 0.49211938E+03
 0.30729893E-03 0.54783710E+03
 0.34341242E-03 0.60980371E+03
 0.38376995E-03 0.67869751E+03
 0.42887023E-03 0.75526373E+03
 0.47927065E-03 0.84031702E+03
 0.53559407E-03 0.93474567E+03
 0.59853663E-03 0.10395149E+04
 0.66887605E-03 0.11556664E+04
 0.74748177E-03 0.12843218E+04
 0.83532510E-03 0.14266792E+04
 0.93349174E-03 0.15840111E+04
 0.10431948E-02 0.17576566E+04
 0.11657901E-02 0.19490098E+04
 0.13027927E-02 0.21594968E+04
 0.14558957E-02 0.23905491E+04
 0.16269912E-02 0.26435605E+04
 0.18181937E-02 0.29198372E+04
 0.20318662E-02 0.32205342E+04
 0.22706492E-02 0.35465789E+04
 0.25374936E-02 0.38985710E+04
 0.28356975E-02 0.42766567E+04
 0.31689461E-02 0.46803970E+04
 0.35413578E-02 0.51086050E+04
 0.39575347E-02 0.55591665E+04
 0.44226204E-02 0.60288618E+04
 0.44720350E-02 0.60767231E+04
 0.45220014E-02 0.61247251E+04
 0.45725256E-02 0.61728643E+04
 0.46236152E-02 0.62211348E+04
 0.46752747E-02 0.62695308E+04
 0.47275121E-02 0.63180474E+04
 0.47803330E-02 0.63666753E+04
 0.48337439E-02 0.64154106E+04
 0.48877518E-02 0.64642485E+04
 0.49423627E-02 0.65131792E+04
 0.49975840E-02 0.65621982E+04
 0.50534224E-02 0.66112993E+04
 0.51098848E-02 0.66604746E+04
 0.51669781E-02 0.67097148E+04
 0.52247089E-02 0.67590166E+04
 0.52830847E-02 0.68083687E+04
 0.53421133E-02 0.68577661E+04
 0.54018009E-02 0.69072007E+04
 0.54621557E-02 0.69566636E+04
 0.55231848E-02 0.70061465E+04
 0.55848956E-02 0.70556416E+04
 0.56472961E-02 0.71051401E+04
 0.57103937E-02 0.71546343E+04
 0.57741962E-02 0.72041152E+04
 0.58387117E-02 0.72535747E+04
 0.59039481E-02 0.73030010E+04
 0.59699132E-02 0.73523853E+04
 0.60366155E-02 0.74017207E+04
 0.61040632E-02 0.74509946E+04
 0.61722645E-02 0.75002002E+04
 0.62412275E-02 0.75493232E+04
 0.63109612E-02 0.75983584E+04
 0.63814740E-02 0.76472915E+04
 0.64527746E-02 0.76961157E+04
 0.65248716E-02 0.77448169E+04
 0.65977746E-02 0.77933838E+04
 0.66714920E-02 0.78418101E+04
 0.67460332E-02 0.78900806E+04
 0.68214070E-02 0.79381855E+04
 0.68976232E-02 0.79861138E+04
