#           k/h    P           
 0.72484778E-04 0.35814923E+03
 0.81003120E-04 0.39884940E+03
 0.90522532E-04 0.44417108E+03
 0.10116066E-03 0.49463788E+03
 0.11304896E-03 0.55083179E+03
 0.12633437E-03 0.61340015E+03
 0.14118107E-03 0.68306226E+03
 0.15777253E-03 0.76061737E+03
 0.17631381E-03 0.84695282E+03
 0.19703405E-03 0.94305298E+03
 0.22018931E-03 0.10500092E+04
 0.24606576E-03 0.11690294E+04
 0.27498318E-03 0.13014498E+04
 0.30729893E-03 0.14487455E+04
 0.34341242E-03 0.16125431E+04
 0.38376995E-03 0.17946301E+04
 0.42887023E-03 0.19969686E+04
 0.47927065E-03 0.22217053E+04
 0.53559407E-03 0.24711809E+04
 0.59853663E-03 0.27479402E+04
 0.66887605E-03 0.30547351E+04
 0.74748177E-03 0.33945312E+04
 0.83532510E-03 0.37705032E+04
 0.93349174E-03 0.41860200E+04
 0.10431948E-02 0.46446284E+04
 0.11657901E-02 0.51500063E+04
 0.13027927E-02 0.57059058E+04
 0.14558957E-02 0.63160850E+04
 0.16269912E-02 0.69841968E+04
 0.18181937E-02 0.77136704E+04
 0.20318662E-02 0.85075195E+04
 0.22706492E-02 0.93681387E+04
 0.25374936E-02 0.10297041E+05
 0.28356975E-02 0.11294532E+05
 0.31689461E-02 0.12359329E+05
 0.35413578E-02 0.13488168E+05
 0.39575347E-02 0.14675299E+05
 0.44226204E-02 0.15912030E+05
 0.44720350E-02 0.16037999E+05
 0.45220014E-02 0.16164328E+05
 0.45725256E-02 0.16291005E+05
 0.46236152E-02 0.16418020E+05
 0.46752747E-02 0.16545350E+05
 0.47275121E-02 0.16672986E+05
 0.47803330E-02 0.16800906E+05
 0.48337439E-02 0.16929098E+05
 0.48877518E-02 0.17057543E+05
 0.49423627E-02 0.17186223E+05
 0.49975840E-02 0.17315125E+05
 0.50534224E-02 0.17444221E+05
 0.51098848E-02 0.17573504E+05
 0.51669781E-02 0.17702951E+05
 0.52247089E-02 0.17832537E+05
 0.52830847E-02 0.17962240E+05
 0.53421133E-02 0.18092053E+05
 0.54018009E-02 0.18221945E+05
 0.54621557E-02 0.18351896E+05
 0.55231848E-02 0.18481887E+05
 0.55848956E-02 0.18611896E+05
 0.56472961E-02 0.18741896E+05
 0.57103937E-02 0.18871867E+05
 0.57741962E-02 0.19001787E+05
 0.58387117E-02 0.19131631E+05
 0.59039481E-02 0.19261373E+05
 0.59699132E-02 0.19390988E+05
 0.60366155E-02 0.19520453E+05
 0.61040632E-02 0.19649742E+05
 0.61722645E-02 0.19778828E+05
 0.62412275E-02 0.19907682E+05
 0.63109612E-02 0.20036287E+05
 0.63814740E-02 0.20164600E+05
 0.64527746E-02 0.20292605E+05
 0.65248716E-02 0.20420270E+05
 0.65977746E-02 0.20547562E+05
 0.66714920E-02 0.20674461E+05
 0.67460332E-02 0.20800930E+05
 0.68214070E-02 0.20926943E+05
 0.68976232E-02 0.21052467E+05
 0.69746906E-02 0.21177471E+05
 0.70526195E-02 0.21301922E+05
 0.71314187E-02 0.21425791E+05
 0.72110984E-02 0.21549053E+05
 0.72916686E-02 0.21671660E+05
 0.73731388E-02 0.21793588E+05
 0.74555194E-02 0.21914803E+05
 0.75388206E-02 0.22035273E+05
 0.76230522E-02 0.22154957E+05
 0.77082254E-02 0.22273828E+05
 0.77943499E-02 0.22391842E+05
 0.78814365E-02 0.22508971E+05
 0.79694968E-02 0.22625180E+05
 0.80585405E-02 0.22740426E+05
 0.81485789E-02 0.22854676E+05
 0.82396232E-02 0.22967895E+05
 0.83316853E-02 0.23080045E+05
 0.84247757E-02 0.23191082E+05
 0.85189063E-02 0.23300975E+05
 0.86140884E-02 0.23409678E+05
 0.87103341E-02 0.23517162E+05
 0.88076554E-02 0.23623381E+05
 0.89060646E-02 0.23728297E+05
 0.90055726E-02 0.23831869E+05
 0.91061918E-02 0.23934062E+05
 0.92079360E-02 0.24034826E+05
 0.93108173E-02 0.24134129E+05
 0.94148479E-02 0.24231928E+05
 0.95200399E-02 0.24334949E+05
 0.96264081E-02 0.24429764E+05
 0.97339647E-02 0.24522949E+05
 0.98427236E-02 0.24614457E+05
 0.99526970E-02 0.24704250E+05
 0.10063899E-01 0.24792273E+05
